OBJECTID,List entry number,Name,Schedule date,Amendment date,Capture scale,NHLE link,Area (ha),National Grid Reference,Easting,Northing,Name_2,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,fid,OBJECTID_2,ListEntry,SchedDate,AmendDate,CaptureSca,hyperlink,area_ha,NGR,Easting_2,Northing_2,SHAPE_Leng,SHAPE_Area,longitude,latitude
1,1001718,Mound S of Woodbrook,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001718,0.214314221290903,SO 30447 54456,330447,254456,Mound S of Woodbrook,,,,,,-1,0,-1,,,2776,1,1001718,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001718,0.214314221290903,SO 30447 54456,330447.35750007,254456.07719453,167.197167839106,2141.68803202491,-3.01872132411239,52.18394763264223
4,1001721,Mound 1200yds (1100m) NNE of the Church,8/24/1935 1:09:27 PM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001721,0.288699680306159,SO 37237 68101,337237,268101,Mound 1200yds (1100m) NNE of the Church,,,,,,-1,0,-1,,,2779,4,1001721,1935/08/24,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001721,0.288699680306159,SO 37237 68101,337236.91800117,268100.87269349,192.487742740781,2884.97415700167,-2.9219629937513574,52.30742046128547
7,1001724,Megalithic tomb 220yds (200m) SW of Trevarthen,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001724,0.0200519183321827,SW 40442 29570,140442,29570,Megalithic tomb 220yds (200m) SW of Trevarthen,,,,,,-1,0,-1,,,2780,7,1001724,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001724,0.020051918332183,SW 40442 29570,140441.60199928,29570.37999916,50.2427226673252,200.691242495909,-5.631627386327408,50.10935443920342
8,1001725,Hut circle 280yds (250m) SW of Trevarthen,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001725,0.0200547079753154,SW 40423 29519,140423,29519,Hut circle 280yds (250m) SW of Trevarthen,,,,,,-1,0,-1,,,2781,8,1001725,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001725,0.020054707975315,SW 40423 29519,140423.21899986,29519.42799949,50.2466404043648,200.719206996653,-5.631857895336076,50.10888838133015
13,1001730,Two bowl barrows 250m west of Silverwell Farm,10/20/1975 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001730,0.10306758540031,"SW 73071 33232, SW 73025 33193",173071,33232,Two bowl barrows 250m west of Silverwell Farm,,,,,,-1,0,-1,,,2777,13,1001730,1975/10/20,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001730,0.10306758540031,"SW 73071 33232, SW 73025 33193","173070.80250167, 173070.80250167","33231.90899966, 33231.90899966",161.040153119928,1031.15827151412,-5.178241661895994,50.155608879631934
15,1001732,Offa's Dyke: the section extending 165yds (150m) N from Berry Wood,6/5/1935 1:09:27 PM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001732,0.605342632747427,SO 32395 58700,332395,258700,Offa's Dyke: the section extending 165yds (150m) N from Berry Wood,,,,,,-1,0,-1,,,2785,15,1001732,1935/06/05,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001732,0.605342632747427,SO 32395 58700,332394.74950027,258700.38875775,386.287229265014,6049.27921954522,-2.9910825713605207,52.222339703021376
19,1001736,"Offa's Dyke: Upperton Farm, two sections extending 195yds (180m) and 370yds (340m) S from Yazor",7/12/1935 1:09:27 PM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001736,1.31969520072322,"SO 39458 46771, SO 39469 46446",339469,246446,"Offa's Dyke: Upperton Farm, two sections extending 195yds (180m) and 370yds (340m) S from Yazor",,,,,,-1,0,-1,,,2778,19,1001736,1935/07/12,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001736,1.31969520072322,"SO 39458 46771, SO 39469 46446","339468.86400032, 339468.86400032","246446.05609369, 246446.05609369",1124.91101554152,13187.6184090868,-2.8853512912686385,52.11300838961485
20,1001737,Offa's Dyke: the section extending 230yds (210m) N and S of the Old Barn near Kenmoor Coppice (SE of Bowmore Wood),6/5/1935 1:09:27 PM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001737,0.674984187388363,SO 39505 45557,339505,245557,Offa's Dyke: the section extending 230yds (210m) N and S of the Old Barn near Kenmoor Coppice (SE of Bowmore Wood),,,,,,-1,0,-1,,,2775,20,1001737,1935/06/05,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001737,0.674984187388363,SO 39505 45557,339504.75550079,245557.42286799,498.147540222514,6745.06802899185,-2.8846674213323977,52.1050207129801
45,1001762,Orcop Castle,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001762,0.835367972860887,SO 47289 26583,347289,226583,Orcop Castle,,,,,,-1,0,-1,,,2797,45,1001762,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001762,0.835367972860887,SO 47289 26583,347289.38000106,226583.41132231,360.116142142379,8347.58910551444,-2.768101365308203,51.93524546443283
48,1001765,Garway Dovecote,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001765,0.0156306762881907,SO4554122413,345541,222413,Garway Dovecote,,,,,,-1,0,-1,,,2803,48,1001765,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001765,0.015630676288191,SO4554122413,345540.648801804,222412.798799863,44.3284452018139,156.193503490799,-2.792862991853851,51.89758866178173
49,1001766,Little Doward Camp,11/26/1928 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001766,11.5304279964846,SO 53977 15981,353977,215981,Little Doward Camp,,,,,,-1,0,-1,,,2800,49,1001766,1928/11/26,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001766,11.5304279964846,SO 53977 15981,353977.3655014,215980.6774409,1384.62646799205,115218.345452182,-2.669412525151644,51.84052550889235
